OrderDate	SubTotal
24/5/2007	96939
25/5/2007	9472
26/5/2007	68915
27/5/2007	72092
28/5/2007	3868
29/5/2007	28492
30/5/2007	40829
31/5/2007	26317
1/6/2007	95892
2/6/2007	80187
3/6/2007	60726
4/6/2007	44581
5/6/2007	29784
6/6/2007	52544
7/6/2007	46419
8/6/2007	1561
9/6/2007	91781
10/6/2007	87016
11/6/2007	49203
12/6/2007	28720
13/6/2007	32997
14/6/2007	1556
15/6/2007	54270
16/6/2007	8375
17/6/2007	62560
18/6/2007	81875
19/6/2007	18392
20/6/2007	18955
21/6/2007	41340
22/6/2007	95593
23/6/2007	28723
24/6/2007	28319
25/6/2007	38270
26/6/2007	55740
27/6/2007	23426
28/6/2007	7566
29/6/2007	49878
30/6/2007	88196
1/7/2007	72449
2/7/2007	91974
3/7/2007	20427
4/7/2007	25851
5/7/2007	57149
6/7/2007	61481
7/7/2007	91506
8/7/2007	20969
9/7/2007	7214
10/7/2007	59206
11/7/2007	98762
12/7/2007	39414
13/7/2007	94938
14/7/2007	2956
15/7/2007	58051
16/7/2007	84379
17/7/2007	4132
18/7/2007	65514
19/7/2007	39847
20/7/2007	92148
21/7/2007	93902
22/7/2007	78902
23/7/2007	74113
24/7/2007	27073
25/7/2007	18552
26/7/2007	17776
27/7/2007	85322
28/7/2007	91886
29/7/2007	84957
30/7/2007	66925
31/7/2007	77938
1/8/2007	78831
2/8/2007	7236
3/8/2007	41775
4/8/2007	4733
5/8/2007	3610
6/8/2007	35238
7/8/2007	87939
8/8/2007	54798
9/8/2007	59430
10/8/2007	80761
11/8/2007	34662
12/8/2007	33861
13/8/2007	56692
14/8/2007	40246
15/8/2007	69116
16/8/2007	11197
17/8/2007	21284
18/8/2007	89393
19/8/2007	28217
20/8/2007	69501
21/8/2007	55024
22/8/2007	60863
23/8/2007	81178
24/8/2007	95250
25/8/2007	15509
26/8/2007	76635
27/8/2007	17653
28/8/2007	66363
29/8/2007	72939
30/8/2007	21915
31/8/2007	23534
1/9/2007	87123
2/9/2007	85510
3/9/2007	76346
4/9/2007	90106
5/9/2007	35633
6/9/2007	67916
7/9/2007	82846
8/9/2007	35670
9/9/2007	87749
10/9/2007	89655
11/9/2007	9816
12/9/2007	38510
13/9/2007	53772
14/9/2007	33305
15/9/2007	27187
16/9/2007	63690
17/9/2007	74129
18/9/2007	52436
19/9/2007	67663
20/9/2007	82027
21/9/2007	2572
22/9/2007	37847
23/9/2007	56683
24/9/2007	80009
25/9/2007	10374
26/9/2007	63949
27/9/2007	1130
28/9/2007	68502
29/9/2007	40185
30/9/2007	60995
1/10/2007	17196
2/10/2007	27379
3/10/2007	97267
4/10/2007	56644
5/10/2007	5940
6/10/2007	93767
7/10/2007	6185
8/10/2007	46191
9/10/2007	9604
10/10/2007	18244
11/10/2007	52006
12/10/2007	20572
13/10/2007	36892
14/10/2007	80671
15/10/2007	39842
16/10/2007	13177
17/10/2007	79072
18/10/2007	97721
19/10/2007	15698
20/10/2007	47294
21/10/2007	77058
22/10/2007	83401
23/10/2007	26324
24/10/2007	61626
25/10/2007	93742
26/10/2007	77540
27/10/2007	21298
28/10/2007	43339
29/10/2007	73569
30/10/2007	33326
31/10/2007	31330
1/11/2007	68310
2/11/2007	99119
3/11/2007	22063
4/11/2007	43984
5/11/2007	58850
6/11/2007	2284
7/11/2007	45876
8/11/2007	29868
9/11/2007	90798
10/11/2007	21131
11/11/2007	66302
12/11/2007	12117
13/11/2007	13759
14/11/2007	86129
15/11/2007	69008
16/11/2007	40775
17/11/2007	73028
18/11/2007	96410
19/11/2007	95414
20/11/2007	89203
21/11/2007	30663
22/11/2007	38177
23/11/2007	41451
24/11/2007	24492
25/11/2007	53129
26/11/2007	29827
27/11/2007	53138
28/11/2007	76794
29/11/2007	48934
30/11/2007	53451
1/12/2007	26348
2/12/2007	84811
3/12/2007	54894
4/12/2007	61964
5/12/2007	11942
6/12/2007	91146
7/12/2007	24334
8/12/2007	4907
9/12/2007	21524
10/12/2007	10464
11/12/2007	98614
12/12/2007	8545
13/12/2007	91594
14/12/2007	19748
15/12/2007	72910
16/12/2007	10143
17/12/2007	40073
18/12/2007	44066
19/12/2007	16817
20/12/2007	86550
21/12/2007	28750
22/12/2007	31803
23/12/2007	33032
24/12/2007	90894
25/12/2007	39697
26/12/2007	43124
27/12/2007	36102
28/12/2007	29506
29/12/2007	6246
30/12/2007	78202
31/12/2007	24229
